anio,tipo_ingreso,region,ingreso_nominal,ingreso_real_nov2024,error_estandar_nominal,error_estandar_real
2022,Ingreso autónomo,La Araucanía,768994.4818437162,839741.9741733373,15467.539911444292,16890.553583297176
2024,Ingreso autónomo,La Araucanía,908238.1071478922,908238.1071478922,22395.553197839457,22395.553197839457
2006,Ingreso autónomo,Los Ríos,347560.76375959255,731615.4077139419,23646.023942774198,49774.88039953968
2009,Ingreso autónomo,Los Ríos,353665.314091832,651097.8432430626,33901.68539534989,62413.002812839186
2011,Ingreso autónomo,Los Ríos,481370.0753518754,831326.1201326891,44015.38907397321,76014.57693075167
2013,Ingreso autónomo,Los Ríos,533319.0236840834,881043.0271261046,26209.403192405323,43297.93407385361
2015,Ingreso autónomo,Los Ríos,725609.7712199717,1091317.0959148402,53452.831753546285,80393.05895733357
2017,Ingreso autónomo,Los Ríos,732343.475898579,1049448.200962663,54668.21060298908,78339.5457940833
2020,Ingreso autónomo,Los Ríos,720063.0622297211,950483.2421432321,34592.52209869385,45662.12917027587
2022,Ingreso autónomo,Los Ríos,976858.7109470349,1066729.7123541608,29218.894368748992,31907.0326506739
2024,Ingreso autónomo,Los Ríos,1089771.97823908,1089771.97823908,26491.178529081248,26491.178529081248
2006,Ingreso autónomo,Los Lagos,413138.2025298104,869655.9163252529,19286.735411305104,40598.57804079726
2009,Ingreso autónomo,Los Lagos,426292.3032555192,784804.1302934149,27351.39079781471,50353.91045877692
2011,Ingreso autónomo,Los Lagos,458233.5642397901,791369.3654421159,16145.804274421815,27883.8039819265
2013,Ingreso autónomo,Los Lagos,592374.4630380447,978602.6129388484,27717.39185982022,45789.13135242305
2015,Ingreso autónomo,Los Lagos,621430.5577251461,934631.5588186198,18858.31118086362,28362.900016018895
2017,Ingreso autónomo,Los Lagos,756647.6387014156,1084276.0662591297,38234.39448672046,54789.88729947042
2020,Ingreso autónomo,Los Lagos,806974.0231314201,1065205.7105334727,68137.75005956061,89941.83007862006
2022,Ingreso autónomo,Los Lagos,953996.1130550668,1041763.7554561325,25745.203087010854,28113.761771015874
2024,Ingreso autónomo,Los Lagos,1148900.324177344,1148900.324177344,25962.503127845288,25962.503127845284
2006,Ingreso autónomo,Aysén,414566.30534244666,872662.0727458502,20309.505513244116,42751.50910537887
2009,Ingreso autónomo,Aysén,559842.7929122625,1030670.5817514751,76817.74617623299,141421.47071044496
2011,Ingreso autónomo,Aysén,691047.7054714785,1193439.3873492426,40458.70312643156,69872.18029934732
2013,Ingreso autónomo,Aysén,757259.1665928093,1250992.1432113193,26692.030994784614,44095.23520338419
2015,Ingreso autónomo,Aysén,881861.522720256,1326319.7301712653,38229.96945105154,57497.8740543815
2017,Ingreso autónomo,Aysén,1078858.1572870798,1546003.7393923851,64776.2845054319,92824.41569628393
2020,Ingreso autónomo,Aysén,1004430.557999951,1325848.336559934,44415.82864115008,58628.89380631811
2022,Ingreso autónomo,Aysén,1269520.8342163356,1386316.7509642395,53429.47917213088,58344.99125596693
2024,Ingreso autónomo,Aysén,1477882.0319023684,1477882.0319023684,63942.72034941111,63942.72034941111
2006,Ingreso autónomo,Magallanes,580607.7194627204,1222179.2494690274,60602.84855188786,127568.99620172396
2009,Ingreso autónomo,Magallanes,624450.5256646278,1149613.417748581,80673.0495423902,148519.08420754047
2011,Ingreso autónomo,Magallanes,720981.4754354914,1245135.0080770946,50790.49223001303,87715.18008123245
2013,Ingreso autónomo,Magallanes,830371.1504884877,1371773.140606982,31092.494339036883,51364.80064808891
2015,Ingreso autónomo,Magallanes,1023066.101930108,1538691.417302883,56949.51663572175,85652.0730201255
2017,Ingreso autónomo,Magallanes,1148327.9310750016,1645553.9252304782,66780.90342861583,95697.03461320649
2020,Ingreso autónomo,Magallanes,1127453.328878699,1488238.3941198853,64377.64970844204,84978.49761514348
2022,Ingreso autónomo,Magallanes,1288451.4196783404,1406988.9502887465,51601.34070356689,56348.66404829503
2024,Ingreso autónomo,Magallanes,1607808.4647469262,1607808.4647469262,47374.28999372398,47374.289993723985
2006,Ingreso autónomo,Total,501639.4652471296,1055951.074345207,9488.229553316543,19972.723209731306
2009,Ingreso autónomo,Total,583376.5485074798,1073996.225802271,11565.25563794583,21291.635629458262
2011,Ingreso autónomo,Total,634965.4860161863,1096585.3943499515,12223.262432622918,21109.57422113978
2013,Ingreso autónomo,Total,776992.7921706379,1283592.0926658963,12893.971936182992,21300.841638574297
2015,Ingreso autónomo,Total,881094.1531323703,1325165.6063110782,11543.452810992345,17361.3530277325
2017,Ingreso autónomo,Total,966961.0871357921,1385655.2378655914,15627.298449055788,22393.918677496946
2020,Ingreso autónomo,Total,978534.4039926929,1291665.413270354,14913.155383347597,19685.365106018824
2022,Ingreso autónomo,Total,1236533.9186818467,1350295.0392005718,12458.335828818832,13604.502725070135
2024,Ingreso autónomo,Total,1456693.6215942472,1456693.6215942472,11596.78654700489,11596.78654700489
2006,Subsidios monetarios,Arica y Parinacota,7637.779413237208,16077.525664864363,1432.1205577293033,3014.613774020184
2009,Subsidios monetarios,Arica y Parinacota,15200.948765797059,27984.94667783237,3211.7247707963143,5912.785303036015
2011,Subsidios monetarios,Arica y Parinacota,15921.516961760426,27496.459792960264,988.9826087214536,1707.9729652619508
2013,Subsidios monetarios,Arica y Parinacota,17751.307528165336,29325.160036529116,989.2321731718711,1634.2115500799307
2015,Subsidios monetarios,Arica y Parinacota,24095.530460727907,36239.67781293484,2217.184659644511,3334.6457281053436
2017,Subsidios monetarios,Arica y Parinacota,27622.19192152337,39582.60102354299,1566.463937331245,2244.742822195674
2020,Subsidios monetarios,Arica y Parinacota,52604.52126154717,69437.9680652422,2295.576847078774,3030.1614381439813
2022,Subsidios monetarios,Arica y Parinacota,63063.95807831069,68865.84222151528,2311.9076128932675,2524.6031132794496
